,Unnamed: 0,WhiteElo,BlackElo,WhiteName,BlackName,Winner,Termination,Site,Day,Month,Year,InitialTime,Increment,TimeControl,Opening,ECO,Number_of_Moves
2835,2835,1706,1742,MihaSAH,aZTeC1993,Black,Time forfeit,https://lichess.org/g30fuvsg,1,1,2013,300,5,Rapid,Queen's Pawn Game: Anti-Torre,D02,36
2836,2836,1660,1572,cougar1,Bduff,White,Normal,https://lichess.org/z6wian0r,1,1,2013,240,3,Blitz,Vienna Game,C27,31
2837,2837,1667,1563,Na_Kol,tiggran,White,Normal,https://lichess.org/t1n3p8zg,1,1,2013,300,0,Blitz,Vienna Game: Mengarini Variation,C26,7
2838,2838,1299,1442,zerbereus,flesi01,White,Normal,https://lichess.org/pn5kmmf7,1,1,2013,420,0,Blitz,Trompowsky Attack,A45,17
2839,2839,1353,1312,ciccio,Supernova,White,Normal,https://lichess.org/5v92z8aa,1,1,2013,900,4,Rapid,Caro-Kann Defense: Advance Variation,B12,14
2840,2840,1798,1685,sonie,nichiren1967,White,Normal,https://lichess.org/6gwi5izh,1,1,2013,120,0,Bullet,King's Gambit: Panteldakis Countergambit,C30,46
2841,2841,1817,1816,vivelafete,uxim,White,Normal,https://lichess.org/v58kl1lb,1,1,2013,240,0,Blitz,Horwitz Defense,A40,35
2842,2842,1715,1508,Trebizonde,FF4,Black,Normal,https://lichess.org/csrzdu82,1,1,2013,300,10,Rapid,Owen Defense,B00,59
2843,2843,1324,1506,alexbc,Pierro,Black,Normal,https://lichess.org/hjqe32s3,1,1,2013,60,2,Bullet,Hungarian Opening,A00,27
2844,2844,1700,1810,URIAHURIAH,marina1984,Black,Normal,https://lichess.org/ibonwj4l,1,1,2013,300,0,Blitz,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",B02,18
2845,2845,1480,1381,TwoKings,vicodinn,Black,Normal,https://lichess.org/7gbdavds,1,1,2013,720,0,Rapid,Philidor Defense #2,C41,29
2846,2846,1630,1674,kamol,Na_Kol,White,Time forfeit,https://lichess.org/re70ifqa,1,1,2013,300,4,Blitz,King's Pawn Opening: 2.b3,C20,30
2847,2847,1515,1804,fedalio,Fisher62,Black,Time forfeit,https://lichess.org/420ilnuv,1,1,2013,300,0,Blitz,Sicilian Defense,B50,58
2848,2848,1405,1369,sahinozan,SAIRAM,White,Normal,https://lichess.org/ilh9ixbc,1,1,2013,480,10,Rapid,French Defense: Queen's Knight,C00,14
2849,2849,1522,1500,ilian,Potent_Returns,Black,Normal,https://lichess.org/ifyxc3j6,1,1,2013,300,0,Blitz,Sicilian Defense: Bowdler Attack,B20,66
2850,2850,1604,857,daco,kramer,White,Time forfeit,https://lichess.org/sb5t7zer,1,1,2013,360,0,Blitz,French Defense: Normal Variation,C00,24
2851,2851,1354,1346,Violinist,ChessSystem,Black,Normal,https://lichess.org/gyrsgn16,1,1,2013,180,0,Blitz,French Defense: Knight Variation,C00,20
2852,2852,1500,1694,__Viper4,jetlivodovoz,Black,Normal,https://lichess.org/goxsa6gl,1,1,2013,900,21,Classical,Queen's Pawn Game #2,D00,30
2853,2853,1685,1533,dominguezfc,alaska,White,Normal,https://lichess.org/j8iug6pa,1,1,2013,600,0,Rapid,Sicilian Defense: Open,B32,25
2854,2854,1426,1316,flesi01,zerbereus,White,Normal,https://lichess.org/8iljragk,1,1,2013,420,0,Blitz,Old Benoni Defense,A43,28
2855,2855,1512,1318,Pierro,alexbc,White,Time forfeit,https://lichess.org/uqqyxu77,1,1,2013,60,2,Bullet,Van't Kruijs Opening,A00,32
2856,2856,1467,1530,your-king-is-mine,Buick_jr,Black,Normal,https://lichess.org/1w135psx,1,1,2013,360,7,Rapid,Scandinavian Defense,B01,36
2857,2857,2060,1586,ostrak11,manuel87,White,Time forfeit,https://lichess.org/lr4b1vvs,1,1,2013,240,0,Blitz,Queen's Pawn Game #2,D00,15
2858,2858,1544,1564,Serg11228899,mhy196,White,Normal,https://lichess.org/esqmz08i,1,1,2013,600,10,Rapid,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,33
2859,2859,1678,1771,nichiren1967,ricodelacasita,Draw,Normal,https://lichess.org/oi5vvbbt,1,1,2013,60,1,Bullet,Caro-Kann Defense,B10,74
2860,2860,1622,1598,TEODOR,morgan1,White,Normal,https://lichess.org/gkrl4brl,1,1,2013,600,0,Rapid,St. George Defense: Woodchuck Variation,B00,14
2861,2861,1818,1895,marina1984,sakrat,White,Time forfeit,https://lichess.org/qtuw81tz,1,1,2013,180,3,Blitz,"King's Gambit Declined, Classical Variation",C30,25
2862,2862,1806,1783,sonie,kent777,Black,Normal,https://lichess.org/fm1rxbo8,1,1,2013,120,0,Bullet,Sicilian Defense: McDonnell Attack,B21,57
2863,2863,1359,1211,SAIRAM,Violinist,Black,Normal,https://lichess.org/iqfxmrt3,1,1,2013,420,7,Rapid,Van't Kruijs Opening,A00,12
2864,2864,1367,1358,german11,ChessSystem,Black,Time forfeit,https://lichess.org/ybigy63t,1,1,2013,180,0,Blitz,French Defense: Advance Variation,C02,21
2865,2865,1826,1697,Federico,Neuronchess,Draw,Normal,https://lichess.org/9zey8ixa,1,1,2013,480,0,Rapid,Old Benoni Defense,A43,32
2866,2866,1676,1686,rasmussenesq,Potent_Returns,White,Normal,https://lichess.org/46mdvyuk,1,1,2013,300,0,Blitz,English Opening: King's English Variation,A20,29
2867,2867,1588,1633,morgan1,TEODOR,Black,Normal,https://lichess.org/00riocs3,1,1,2013,600,0,Rapid,Van't Kruijs Opening,A00,29
2868,2868,2061,1668,ostrak11,cougar1,White,Time forfeit,https://lichess.org/lb7rq4he,1,1,2013,240,0,Blitz,Dutch Defense: Queen's Knight Variation,A85,31
2869,2869,1312,1518,alexbc,Pierro,Black,Normal,https://lichess.org/rwahccvt,1,1,2013,60,2,Bullet,Hungarian Opening,A00,16
2870,2870,1804,1829,uxim,vivelafete,White,Time forfeit,https://lichess.org/gux5jz21,1,1,2013,240,0,Blitz,Van't Kruijs Opening,A00,38
2871,2871,1344,1248,SAIRAM,Violinist,White,Normal,https://lichess.org/lzpsx2er,1,1,2013,420,7,Rapid,Van't Kruijs Opening,A00,49
2872,2872,1605,1199,ChikiPuki,FashionBoy,White,Time forfeit,https://lichess.org/971kvgk9,1,1,2013,60,0,Bullet,Italian Game,C50,3
